code,icao,name,city_code,country,city,state,county
CLN,SBCI,Carolina,CLN,BR,Carolina,Maranhao,Carolina
CLO,SKCL,Alfonso B. Aragon Airport,CLO,CO,Palmira,Valle del Cauca,
CLP,PFCL,Clarks Point,CLP,US,,,
CLQ,MMIA,Colima Airport,CLQ,MX,Cuauhtemoc,Colima,
CLR,KCLR,Calipatria,CLR,US,Calipatria,California,Imperial County
CLS,KCLS,Centralia,CLS,US,Chehalis,Washington,Lewis County
CLT,KCLT,Charlotte Douglas International Airport,CLT,US,,,
CLU,KBAK,Columbus Municipal,CLU,US,Columbus,Indiana,Bartholomew County
CLV,SBCN,Caldas Novas,CLV,BR,Caldas Novas,Goias,Caldas Novas
CLW,KCLW,Executive,CLW,US,Clearwater,Florida,Pinellas County
CLX,SATC,Clorinda,CLX,AR,Asuncion,Asuncion,
CLY,LFKC,Sainte Catherine Airport,CLY,FR,Calvi,Corsica,Departement de la Haute-Corse
CLZ,SVCL,Calabozo,CLZ,VE,Calabozo,Guarico,Municipio Francisco de Miranda
CMA,YCMU,Cunnamulla,CMA,AU,,,
CMB,VCBI,Bandaranaike International Airport,CMB,LK,Katunayake,,
CMC,SNWC,Camocim,CMC,BR,Camocim,Ceara,Camocim
CMD,YCTM,Cootamundra,CMD,AU,Cootamundra,New South Wales,Cootamundra
CME,MMCE,Ciudad Del Carmen Airport,CME,MX,Ciudad del Carmen,Campeche,Carmen
CMF,LFLB,Chambery,CMF,FR,Voglans,Rhone-Alpes,Departement de la Savoie
CMG,SBCR,Corumba Internacional Airport,CMG,BR,,,
CMH,KCMH,John Glenn Columbus International Airport,CMH,US,Gahanna,Ohio,Franklin County
CMI,KCMI,Willard University Airport,CMI,US,Savoy,Illinois,Champaign County
CMJ,RCCM,Chi Mei,CMJ,TW,,,
CMK,FWCM,Club Makokola,CMK,MW,Monkey Bay,Southern Region,Mangochi District
CML,YCMW,Camooweal,CML,AU,,,
CMM,MGCR,Carmelita,CMM,GT,,,
CMN,GMMN,Mohamed V International Airport,CAS,MA,Nouaseur,Chaouia-Ouardigha,
CMO,HCMO,Obbia,CMO,SO,Hobyo,Mudug,
CMP,SNKE,Campo Alegre,CMP,BR,Campo Alegre,Alagoas,Campo Alegre
CMQ,YCMT,Clermont,CMQ,AU,,,
CMR,LFGA,Colmar-houssen,CMR,FR,Colmar,Alsace,Departement du Haut-Rhin
CMS,HCMS,Scusciuban,CMS,SO,Iskushuban,Bari,
CMT,,Cameta,CMT,BR,Cameta,Para,Cameta
CMU,AYCH,Chimbu,CMU,PG,,,
CMV,NZCX,Coromandel,CMV,NZ,,,
CMW,MUCM,Ign Agramonte International Airport,CMW,CU,Camaguey,Camaguey,
CMX,KCMX,Houghton County Airport,CMX,US,Dollar Bay,Michigan,Houghton County
CMY,KCMY,Fort Mccoy,CMY,US,Sparta,Wisconsin,Monroe County
CMZ,,Caia,CMZ,MZ,Nsanje,Southern Region,Nsanje District
CNA,MMCA,Cananea,CNA,MX,Cananea,Sonora,
CNB,YCNM,Coonamble,CNB,AU,Coonamble,New South Wales,Coonamble
CNC,YCCT,Coconut Island,CNC,AU,,,
